STN---,WBAN,YEARMODA,TEMP,Unnamed: 4,DEWP,Unnamed: 6,SLP,Unnamed: 8,STP,Unnamed: 10,VISIB,Unnamed: 12,WDSP,Unnamed: 14,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
10010,99999,20200405,23.3,24,19.3,24,1018.6,24,1017.4,24,3.6,6,18.0,24,25.6,34.6,31.6*,12.9,0.09G,999.9,1000
10010,99999,20200406,34.0,23,31.6,23,995.2,23,994.0,23,4.6,6,26.1,23,33.2,49.3,38.5,28.6,0.10G,999.9,10000
10010,99999,20200407,32.5,24,30.0,24,991.0,24,989.8,24,2.7,6,16.2,24,35.7,47.8,38.1,27.1*,0.21G,999.9,111000
10010,99999,20200408,24.6,23,17.9,23,1008.8,23,1007.6,23,5.1,6,21.9,23,33.6,48.6,26.6*,22.3*,0.06G,999.9,1000
10010,99999,20200409,23.8,24,14.0,24,1021.1,24,1019.9,24,15.1,6,5.7,24,9.9,20.8,25.9,21.4,0.01G,999.9,1000
10010,99999,20200410,28.8,24,20.0,24,1019.7,24,1018.5,24,39.9,6,13.8,24,25.1,31.3,31.6*,24.6,0.00G,999.9,0
10010,99999,20200411,26.4,24,18.1,24,1018.5,24,1017.3,24,15.6,6,17.3,24,29.1,40.4,30.9,20.8,99.99,999.9,1000
10010,99999,20200412,21.9,24,11.6,24,1025.8,24,1024.6,24,27.4,6,11.6,24,24.5,35.4,25.9*,19.4,99.99,999.9,1000
10010,99999,20200413,32.5,24,28.2,24,1004.9,24,1003.7,24,16.2,6,23.0,24,35.0,47.0,37.8*,23.4,0.69E,999.9,11000
10010,99999,20200414,28.6,24,23.5,24,984.9,24,983.8,24,7.6,6,19.6,24,39.0,52.3,36.0,21.0,0.14F,999.9,1000
10010,99999,20200415,25.2,24,19.1,24,992.8,24,991.6,24,3.5,6,16.8,24,24.5,48.0,27.1*,21.9,0.08F,999.9,1000
10010,99999,20200416,31.0,24,23.5,24,1007.8,24,1006.6,24,35.7,6,10.7,24,18.1,44.5,35.8,25.7,0.00I,999.9,0
10010,99999,20200417,37.9,24,34.3,24,1009.8,24,1008.6,24,11.9,6,20.7,24,29.9,40.0,41.9*,31.5,0.00G,999.9,10000
10010,99999,20200418,37.2,24,34.4,24,1013.7,24,1012.5,24,7.3,6,13.2,24,30.9,45.3,47.1,34.0,0.00G,999.9,110000
10010,99999,20200419,38.5,24,23.1,24,1015.6,24,1014.4,24,28.6,6,17.6,24,30.9,43.3,42.1,33.6,0.00G,999.9,100000
10010,99999,20200420,35.8,24,30.7,24,1026.9,24,1025.7,24,13.7,6,4.8,24,10.5,31.5,42.3,34.2*,99.99,999.9,110000
10010,99999,20200421,36.1,24,30.8,24,1033.5,24,1032.3,24,14.6,6,4.2,24,7.4,16.5,37.6*,34.2,0.00I,999.9,100000
10010,99999,20200422,34.0,24,33.1,24,1025.7,24,1024.5,24,0.6,6,6.1,24,14.6,22.9,35.8*,32.5,0.02G,999.9,110000
10010,99999,20200423,33.0,24,30.5,24,1021.3,24,1020.1,24,3.8,6,8.9,24,26.6,34.6,36.1,29.3*,0.00G,999.9,110000
10010,99999,20200424,29.8,23,28.1,23,1019.9,23,1018.7,23,5.1,6,6.7,23,20.8,25.6,32.0,27.5,0.00G,999.9,111000
10010,99999,20200425,28.4,24,24.8,24,1024.7,24,1023.5,24,13.4,6,15.2,24,19.0,28.9,30.2,26.2*,0.00G,999.9,1000
10010,99999,20200426,27.6,24,23.9,24,1025.3,24,1024.1,24,24.9,6,4.6,24,9.3,15.5,30.0,24.4,0.00G,999.9,0
10010,99999,20200427,32.4,24,28.0,24,1019.1,24,1017.9,24,10.0,6,6.9,24,16.5,27.4,36.5*,28.4,99.99,999.9,111000
10010,99999,20200428,30.6,24,27.5,24,1011.0,24,1009.8,24,23.3,6,5.1,24,8.4,25.8,33.6,28.6,0.00I,999.9,0
10010,99999,20200429,35.6,24,32.3,24,1009.8,24,1008.6,24,13.6,6,6.6,24,11.1,17.7,38.1,28.6,0.01G,999.9,11000
10010,99999,20200430,31.2,24,27.5,24,1014.1,24,1012.9,24,10.9,6,16.8,24,26.6,31.9,37.2,28.2,0.00G,999.9,1000
10010,99999,20200501,28.1,24,24.5,24,1014.8,24,1013.6,24,22.8,6,13.1,24,19.6,26.2,29.3,26.6,0.00G,999.9,11000
10010,99999,20200502,27.7,24,20.8,24,1016.4,24,1015.2,24,43.5,6,11.0,24,17.1,23.7,29.3,26.2,0.00G,999.9,0
10010,99999,20200503,28.2,24,19.9,24,1016.7,24,1015.5,24,46.6,6,5.5,24,12.4,15.9,31.3*,26.4,0.00I,999.9,0
10010,99999,20200504,34.0,24,31.6,24,1000.8,24,999.6,24,7.9,6,18.8,24,28.2,37.5,35.8,28.2,0.05G,999.9,10000
10010,99999,20200505,28.0,24,23.9,24,995.6,24,994.4,24,3.2,6,16.0,24,23.5,49.0,35.8,24.8,0.41G,999.9,11000
10010,99999,20200506,28.5,24,22.6,24,1016.3,24,1015.1,24,28.0,6,14.9,24,32.8,42.9,30.0,27.0,0.11G,999.9,1000
